month_year,QTY,Total Price
2019-04-01,1350,8028.4785
2019-05-01,586,2893.82974
2019-06-01,400,1494.98
2019-07-01,17412,38224.79606
2019-08-01,30200,68008.65
2019-09-01,9120,24994.1692
2019-10-01,82886,205871.38962
2019-11-01,42404,109023.90666
2019-12-01,67576,212756.13801999998
2020-01-01,20550,68398.60634
2020-02-01,61340,207035.5517
2020-03-01,33400,101676.362
2020-04-01,28640,105142.1298
2020-05-01,11610,78511.53020000001
2020-06-01,5109,42435.160130000004
2020-07-01,20558,144862.6986
2020-08-01,13973,137620.92653
2020-09-01,37454,313713.55063
2020-10-01,32774,317547.68038
2020-11-01,25038,179852.23828
2020-12-01,27580,261013.80896
2021-01-01,48860,387739.27861
2021-02-01,31946,327224.486386
2021-03-01,71154,597232.947087
2021-04-01,27010,232724.491235
2021-05-01,24845,226612.475334
2021-06-01,41876,405378.6892569
2021-07-01,36974,338848.02021
2021-08-01,55375,467636.133669
2021-09-01,66897,647379.2409526
2021-10-01,69968,654967.7697815
2021-11-01,114793,1092416.8743414
2021-12-01,208420,1775140.0426945
2022-01-01,185457,1741087.7082224
2022-02-01,168489,1331555.0867038
2022-03-01,240281,2053076.5534232
2022-04-01,78973,852497.8487
2022-05-01,122160,1349698.90482
2022-06-01,177209,1584099.90075
2022-07-01,106268,1261937.5494
2022-08-01,134626,1573522.4283
2022-09-01,105449,1156083.65546
